"","Sample ID","Age (ka)","Age 2se","(234U/238U)i","Ratio 2se"
"3","YP003-1_1",116.71,0.349,1.173,0.001
"4","YP003-1_2",122.06,0.433,1.161,0.001
"5","YP003-1_3",116.534,0.28,1.168,0.001
"6","YP003-1_4",110.623,0.225,1.167,0.001
"7","YP003-1_5",119.417,0.243,1.166,0.001
