GridSpacing,Name,Type,ActualSizeUm,DwellTime,Fluence,NumPasses,OutputLaserEnergy,RepRate,ScanSpeed,Pre-DwellTime,Pre-Fluence,Pre-NumPasses,Pre-OutputLaserEnergy,Pre-RepRate,Pre-ScanSpeed,X,Y,Z,SpotSize,Pre-SpotSize
45,GPR(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,33017.04524,45946.31094,-6415.722404,150,150
,,,,,,,,,,,,,,,,33323.71797,45902.83738,-6415.722404,,
45,A,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38056.97208,14150.5873,-6361.112404,150,150
,,,,,,,,,,,,,,,,38379.23675,14160.12176,-6361.112404,,
45,A(1),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38055.06518,14331.51838,-6361.112404,150,150
,,,,,,,,,,,,,,,,38377.32986,14341.05284,-6361.112404,,
45,A(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38051.2514,14525.79771,-6361.112404,150,150
,,,,,,,,,,,,,,,,38373.51607,14535.33217,-6361.112404,,
45,A(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38037.90316,14706.72879,-6361.112404,150,150
,,,,,,,,,,,,,,,,38360.16783,14716.26325,-6361.112404,,
45,A(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38020.74114,14929.61149,-6361.112404,150,150
,,,,,,,,,,,,,,,,38343.00581,14939.14595,-6361.112404,,
45,A(5),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38020.74114,15127.7046,-6361.112404,150,150
,,,,,,,,,,,,,,,,38343.00581,15137.23906,-6361.112404,,
45,MK16(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47398.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47398.44339,-6336.188655,,
45,MK16(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47568.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47568.44339,-6336.188655,,
45,MK16(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47738.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47738.44339,-6336.188655,,
45,MK10(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18738.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18738.03632,-6386.353654,,
45,MK10(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,77511.50535,18391.41866,-6386.194904,150,150
,,,,,,,,,,,,,,,,77821.41924,18391.26871,-6386.194904,,
45,MK10(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,77511.50535,18561.41866,-6386.194904,150,150
,,,,,,,,,,,,,,,,77821.41924,18561.26871,-6386.194904,,
45,NIST612(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32690.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32690,-6813.232398,,
45,NIST612(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32860.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32860,-6813.232398,,
45,NIST612(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,33030.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,33030,-6813.232398,,
