	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Beam_Seconds	Beam_Seconds_Int2SE	U238_V	U238_V_Int2SE	Th232_V	Th232_V_Int2SE	U234_cps	U234_cps_Int2SE	Th230_cps	Th230_cps_Int2SE	U234_U238	U234_U238_Int2SE	Th230_U238	Th230_U238_Int2SE	Th232_U238	Th232_U238_Int2SE	Th_ppm	Th_ppm_Int2SE	U_ppm	U_ppm_Int2SE	U234_U238_CORR	U234_U238_CORR_Int2SE	Th230_U238_CORR	Th230_U238_CORR_Int2SE	Th232_U238_CORR	Th232_U238_CORR_Int2SE
A_MK10_6	Th-U laser_long.FIN_	21/03/2018 (4) 07:12:50.06	21/03/2018 (4)	07:12:50.06	111.9	MK10(7)	27	Normal	1	-1730	13	0.1041	0.0052	0.000041	0.000014	394	19	92.5	6.0	1.1054	0.0079	0.839	0.021	0.00039	0.00013	0.00132	0.00044	3.31	0.16	1.0813	0.0077	0.935	0.023	0.000129	0.000042
A_MK10_7	Th-U laser_long.FIN_	21/03/2018 (4) 07:16:04.16	21/03/2018 (4)	07:16:04.16	111.54	MK10(8)	26	Normal	1	-1535	13	0.0949	0.0052	0.0000220	0.0000078	357	20	83.8	5.1	1.100	0.011	0.837	0.014	0.000251	0.000096	0.00071	0.00025	3.01	0.17	1.077	0.011	0.933	0.015	0.000084	0.000032
A_MK10_8	Th-U laser_long.FIN_	21/03/2018 (4) 07:19:17.27	21/03/2018 (4)	07:19:17.27	111.51	MK10(9)	26	Normal	1	-1342	13	0.0831	0.0023	0.0000117	0.0000037	310	11	72.9	3.2	1.103	0.017	0.841	0.025	0.000144	0.000045	0.00038	0.00012	2.641	0.073	1.081	0.016	0.938	0.028	0.000048	0.000015
																																			
MK16_0	Th-U laser_long.FIN_	21/03/2018 (4) 05:12:18.98	21/03/2018 (4)	05:12:18.98	111.55	MK16	26	Normal	1	-8962	13	0.0760	0.0059	0.000027	0.000013	294	24	54.8	3.9	1.132	0.011	0.675	0.020	0.00037	0.00021	0.00087	0.00041	2.42	0.19	1.101	0.011	0.741	0.022	0.000124	0.000071
MK16_1	Th-U laser_long.FIN_	21/03/2018 (4) 05:15:32.31	21/03/2018 (4)	05:15:32.31	111.8	MK16(2)	26	Normal	1	-8767	13	0.0655	0.0050	0.0000105	0.0000067	255	20	45.5	3.5	1.136	0.013	0.661	0.024	0.000128	0.000096	0.00034	0.00022	2.08	0.16	1.107	0.013	0.725	0.026	0.000043	0.000032
MK16_2	Th-U laser_long.FIN_	21/03/2018 (4) 05:18:45.53	21/03/2018 (4)	05:18:45.53	111.94	MK16(3)	26	Normal	1	-8574	13	0.0601	0.0027	0.0000085	0.0000045	236	11	42.0	2.0	1.145	0.017	0.664	0.019	0.000143	0.000076	0.00028	0.00015	1.914	0.085	1.116	0.017	0.730	0.021	0.000048	0.000025
MK16_3	Th-U laser_long.FIN_	21/03/2018 (4) 06:15:35.02	21/03/2018 (4)	06:15:35.02	111.56	MK16(4)	27	Normal	1	-5164	13	0.0588	0.0031	0.00009	0.00014	226	12	42.1	2.4	1.1201	0.0070	0.678	0.015	0.0014	0.0022	0.0028	0.0045	1.871	0.097	1.0988	0.0069	0.750	0.016	0.00048	0.00075
MK16_4	Th-U laser_long.FIN_	21/03/2018 (4) 06:18:48.08	21/03/2018 (4)	06:18:48.08	111.55	MK16(5)	27	Normal	1	-4971	13	0.0454	0.0036	0.0000075	0.0000047	175	13	32.8	3.0	1.128	0.018	0.673	0.021	0.00015	0.00010	0.00024	0.00015	1.44	0.11	1.106	0.018	0.745	0.023	0.000051	0.000035
MK16_5	Th-U laser_long.FIN_	21/03/2018 (4) 06:22:01.66	21/03/2018 (4)	06:22:01.66	111.48	MK16(6)	27	Normal	1	-4778	13	0.0361	0.0033	0.000014	0.000010	139	13	26.9	2.3	1.125	0.020	0.712	0.022	0.00039	0.00031	0.00046	0.00034	1.15	0.11	1.102	0.019	0.789	0.024	0.00013	0.00010
MK16_6	Th-U laser_long.FIN_	21/03/2018 (4) 07:02:47.98	21/03/2018 (4)	07:02:47.98	111.75	MK16(7)	26	Normal	1	-2331	13	0.0509	0.0048	0.0000057	0.0000044	198	19	37.0	3.9	1.136	0.020	0.680	0.024	0.00008	0.00010	0.00018	0.00014	1.62	0.15	1.109	0.019	0.757	0.027	0.000028	0.000035
MK16_7	Th-U laser_long.FIN_	21/03/2018 (4) 07:06:01.39	21/03/2018 (4)	07:06:01.39	111.5	MK16(8)	26	Normal	1	-2138	13	0.0606	0.0049	0.0000100	0.0000077	232	19	43.3	3.9	1.121	0.014	0.677	0.024	0.00016	0.00013	0.00032	0.00025	1.93	0.16	1.095	0.014	0.754	0.026	0.000053	0.000045
