iDAD position,U234_U238_CORR,U234_U238_CORR_Int2SE,iDAD position,Th230_U238_CORR,Th230_U238_CORR_Int2SE,U_ppm,U_ppm_Int2SE
-0.14259259,1.3688868,2.44E-03,-0.14259259,0.6985997,6.48E-03,32,1.6
0.16481481,1.3700833,2.36E-03,0.16481481,0.73276961,8.47E-03,41.1,2.055
0.31851852,1.363741,2.15E-03,0.31851852,0.67212635,6.32E-03,35.8,1.79
0.47222221,1.3621253,2.52E-03,0.47222221,0.6356495,6.48E-03,27.6,1.38
0.6259259,1.3650908,2.92E-03,0.6259259,0.64067662,6.24E-03,31,1.55
0.77962965,1.3738822,2.73E-03,0.77962965,0.71179849,5.29E-03,27.9,1.395
