"","Sample ID","Age (ka)","Age 2se","(234U/238U)i","Ratio 2se"
"3","YP003-1",117.597,0.382,1.174,0.001
"4","YP003-1",121.876,0.381,1.16,0.001
"5","YP003-1",116.498,0.26,1.17,0.001
"6","YP003-1",110.691,0.233,1.167,0.001
"7","YP003-1",119.591,0.27,1.167,0.001
