U234_U238,U234_U238_2SE,Th230_U238,Th230_U238_2SE,U_ppm,U_ppm_2SE,x,y,Comments
,,,,,,12.5,11.4,outer surface
,,,,,,47.5,11.4,inner surface
1.3688868,2.44E-03,0.6985997,6.48E-03,32,1.6,27.5,11.4,
1.3700833,2.36E-03,0.73276961,8.47E-03,41.1,2.055,32.9,11.4,
1.363741,2.15E-03,0.67212635,6.32E-03,35.8,1.79,35.6,11.4,
1.3621253,2.52E-03,0.6356495,6.48E-03,27.6,1.38,38.3,11.4,
1.3650908,2.92E-03,0.64067662,6.24E-03,31,1.55,41.0,11.4,
1.3738822,2.73E-03,0.71179849,5.29E-03,27.9,1.395,43.6,11.4,
