"U234_U238_CALC","Th230_U238_CALC"
1.2701174410675,0.0802812154303039
1.26971406553728,0.0799764074225594
1.26935495204735,0.0795402442492028
1.26904004173701,0.0792248164138022
1.26876928286358,0.0790815779880377
1.26854263098622,0.0791105179435459
1.26836004900119,0.0793110359549453
1.26822150690697,0.0796811794614478
1.2681269819325,0.0800362381773148
1.26807644666119,0.0802255157728068
1.26806992396979,0.0802499291588634
1.26810739087909,0.0801096884733
1.2681888515564,0.0798042185027914
1.26831432403888,0.0794033702795737
1.26848382886684,0.0791521270796529
1.26869739390194,0.0790721615645743
1.26895505414866,0.0791642441578234
1.269256851943,0.0794285371770765
1.26960283675126,0.0798542101340804
1.26999306542198,0.080208102773951
